id;ru;en
LVL_NAME_DARKWOOD;Лихолесье;Darkwood
LVL_NAME_DESERT;Пустыня;Desert
LVL_NAME_CASTLE;Замок;Castle
LVL_NAME_FOGGRAVE;Туманграф;Foggrave
LVL_NAME_ETHERION;Эфирион;Etherion
LVL_NAME_RUSTHOLD;Ржавник;Rusthold
LVL_NAME_LUNARIS;Лунарис;Lunaris
LVL_NAME_WHISPERHOLLOW;Шептоль;Whisperhollow
LVL_NAME_FLAMEGRAD;Пламеград;Flamegrad
LVL_NAME_VOIDNAR;Безднария;Voidnar
MAX_WAVE;максимальный уровень;Max wave
BTN_PLAY;Играть;Play
TAB_SHOP;Магазин;Shop
TAB_FIGHT;В Бой;Fight
TAB_TALENTS;Таланты;Talents
TAB_HEROES;Герои;Heroes
SHOP_DIV_COINS;Монеты;Coins
SHOP_DIV_CRYSTALS;Кристаллы;Crystals
CURRENCY;РУБ;YAN
PAUSE;Пауза;Pause
SKILL_LIST;Список навыков;Skills list
TUT_AIM_N_SHOOT;Прицелься и стреляй;Aim and shoot
TUT_PLUS_BALL;+1 шар;+1 ball
TUT_GET_SKILL;Получи навык;Get skill
BTN_CONTINUE;Продолжить;Continue
LVL_UP_ADS;Реклама;ADS
LVL_UP_NEW_LEVEL;Новый уровень!;New level!
LVL_UP_REWARD;Награда;Reward
WIN_REWARD_ADS;Награда +50%;Reward +50%
WIN_REWARD;Награда;Reward
WIN_DEFEAT;Поражение;Defeat
WIN_VICTORY;Победа!;Victory!
WIN_WAVE_COUNT;Столько волн вы прошли!;That's how many waves you've passed!
CHEST_REWARD;Награда;Reward
RVVL_ADS;Реклама;ADS
RVVL_REVIVE;Оживление;Revive
RVVL_ALMOST;Вы почти прошли этап!;You're almost through the stage!
RVVL_50_HP;50%   ОЗ;50%   HP
RVVL_100_HP;100%   ОЗ    3 ряда;100%   HP    3 rows
RVVL_SUPER_REVIVE;Супер возрождение;Super Revive
CHR_NAME_ALICE;Алиса;Alice
CHR_NAME_MERLIN;Мерлин;Merlin
CHR_NAME_BUSYA;Буся;Busya
CHR_SELECT;Выбрать;Select
CHR_SELECTED;Выбран;Selected
CHR_BTN_UPGRADE;Улучшить;Upgrade
CHR_MATERIALS;Материалы:;Materials:
CHR_HERO_LIST;Все герои;All heroes
CHR_LVL;УР;LVL
CHR_MAX;МАКС.;MAX
MERLIN_ICE_BALL_DESCR;Обычные шары становятся ледяными глыбами 1% заморозить врага;Regular balls turn into ice blocks with a 1% chance to freeze enemies
MERLIN_ICE_POWER_DESCR;Усиление стихии холода на 10%;Boosts ice element power by 10%
